facc,type,symbol,conditions,size,xoff,yoff
FC031,A,0949,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>=ssdc,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=1ANDhdp>0and<ssdcANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msdc,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=msscand<ssdcANDisdm=1,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>=ssdcand<msdc,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=0,,,
FC031,A,3077,mac=2ANDidsm=0ANDhdp>0and<msscANDisdm=1,,,
FC031,A,3077,mac=2ANDhdp=0ANDisdm=0,,,
FC031,A,3077,mac=2ANDhdp=0ANDisdm=1,,,
FC031,A,0082 0734,mac=5,,,
FC031,A,0083 0917,mac=40,,,
FC031,A,0093 0734,mac=4,,,
FC031,A,0097 0742,mac=0or9,,,
FC031,A,1236 0722,mac=41,,,
FC036,P,0082,mac=43,,,
FC036,P,0085,mac=22,,,
FC036,P,0086,mac=15,,,
FC036,P,0087,mac=0or999,,,
FC036,P,0093,mac=37,,,
FC036,L,0722,,,,
FC036,A,0081 0735,mac=21or23or61,,,
FC036,A,0081 0736,mac=45or46,,,
FC036,A,0082 0734,mac=43,,,
FC036,A,0085 0740,mac=22,,,
FC036,A,0086 0739,mac=15,,,
FC036,A,0087 0734,mac=0or999,,,
FC036,A,0093 0734,mac=37,,,
FC036,A,0094 0737,mac=20,,,
FC041,P,0088,,,,
FC041,L,0620,tsp=4,,,
FC041,L,0665,tsp=2,,,
FC041,A,0824,tsp=3,,,
FC041,A,0097 0917,tsp=6or7,,,
FC100,L,0656,,,,
FC130,L,0663,,,,
FC165,P,0089,dof=0,,,
FC165,P,1220,dof<>0,,,
FC165,L,0723,atn=1ANDexs=22ANDrtt=3,,,
FC165,L,0724,atn=2ANDexs=22ANDrtt=3,,,
FC165,L,0725,atn=1ANDexs=23ANDrtt=3,,,
FC165,L,0726,atn=2ANDexs=23ANDrtt=3,,,
FC165,L,0727,exs=0ANDrtt=3,,,
FC165,L,0728,atn=1ANDexs=22ANDrtt<>3,,,
FC165,L,0729,atn=2ANDexs=22ANDrtt<>3,,,
FC165,L,0730,atn=1ANDexs=23ANDrtt<>3,,,
FC165,L,0731,atn=2ANDexs=23ANDrtt<>3,,,
FC165,L,0732,exs=0ANDrtt<>3,,,
FC165,A,0097 0742,rtt=0,,,
FC165,A,0098 0734,rtt=11,,,
FC165,A,1238 0741,rtt=4,,,
FC170,L,0732,,,,
FC170,A,0091 0716,,,,
FC177,L,0656,,,,
FC177,A,0095 0716,,,,
GA020,P,0501,,,,
GA035,P,0511,,,,
GB005,P,0090,,,,
GB005,A,0822,,,,
GB005,A,0600 0932,,,,
GB010,P,0503,,,,
GB055,L,0606,,,,
GB055,A,0804,,,,
GB070,L,0634,,,,
GB070,A,0734 0634,,,,
ZC040,A,0733 0716,,,,
